start_date,end_date,fund,company,ticker,shares_then,shares_now,change,percent_change,cap
2021-01-21,2021-01-22,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,522243.0,679037,156794.0,30.02,Large
2021-01-21,2021-01-22,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,238461.0,308175,69714.0,29.23,Large
2021-01-21,2021-01-22,ARKK,TAIWAN SEMICONDUCTOR-SP ADR,TSM,3145525.0,3709659,564134.0,17.93,Large
2021-01-21,2021-01-22,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,469150.0,540364,71214.0,15.18,Large
2021-01-21,2021-01-22,ARKK,PACCAR INC,PCAR,399823.0,450058,50235.0,12.56,Large
2021-01-21,2021-01-22,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,16111642.0,17859927,1748285.0,10.85,NA
2021-01-21,2021-01-22,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,660112.0,729835,69723.0,10.56,Large
2021-01-21,2021-01-22,ARKW,SPLUNK INC,SPLK,355872.0,193556,-162316.0,-45.61,Large
