start_date,end_date,fund,ticker,shares_then,shares_now,change,percent_change
2021-01-21,2021-01-22,ARKF,SE,445514.0,445514,0.0,0.0
2021-01-21,2021-01-22,ARKF,SHOP,44168.0,44168,0.0,0.0
2021-01-21,2021-01-22,ARKW,SHOP,103263.0,104553,1290.0,1.25
2021-01-21,2021-01-22,ARKK,SHOP,446091.0,448675,2584.0,0.58
2021-01-21,2021-01-22,ARKK,SE,1243381.0,1250601,7220.0,0.58
2021-01-21,2021-01-22,ARKK,ZM,1263661.0,1270995,7334.0,0.58
2021-01-21,2021-01-22,ARKG,SDGR,1755675.0,1770903,15228.0,0.87
2021-01-21,2021-01-22,ARKF,SCHW,594044.0,594044,0.0,0.0
2021-01-21,2021-01-22,ARKG,RPTX,983894.0,992444,8550.0,0.87
2021-01-21,2021-01-22,ARKW,ROKU,802043.0,788853,-13190.0,-1.64
2021-01-21,2021-01-22,ARKK,ROKU,4252210.0,4189002,-63208.0,-1.49
2021-01-21,2021-01-22,ARKW,SE,620792.0,628542,7750.0,1.25
2021-01-21,2021-01-22,ARKF,SI,769247.0,769247,0.0,0.0
2021-01-21,2021-01-22,ARKF,SQ,1077333.0,1077333,0.0,0.0
2021-01-21,2021-01-22,ARKF,SNAP,1173760.0,1173760,0.0,0.0
2021-01-21,2021-01-22,ARKW,SNAP,2368079.0,2397639,29560.0,1.25
2021-01-21,2021-01-22,ARKW,SNPS,249406.0,252516,3110.0,1.25
2021-01-21,2021-01-22,ARKK,SNPS,850882.0,855822,4940.0,0.58
2021-01-21,2021-01-22,ARKQ,SNPS,220044.0,221839,1795.0,0.82
2021-01-21,2021-01-22,ARKQ,SPCE,1849811.0,1864901,15090.0,0.82
2021-01-21,2021-01-22,ARKW,SPLK,355872.0,193556,-162316.0,-45.61
2021-01-21,2021-01-22,ARKF,SPLK,272749.0,272749,0.0,0.0
2021-01-21,2021-01-22,ARKK,SPLK,1214324.0,1221373,7049.0,0.58
2021-01-21,2021-01-22,ARKQ,SPLK,919.0,929,10.0,1.09
2021-01-21,2021-01-22,ARKK,SPOT,1964700.0,1976100,11400.0,0.58
2021-01-21,2021-01-22,ARKW,SPOT,588028.0,595368,7340.0,1.25
2021-01-21,2021-01-22,ARKQ,ROK,100517.0,101337,820.0,0.82
2021-01-21,2021-01-22,ARKW,SKLZ,941060.0,952810,11750.0,1.25
2021-01-21,2021-01-22,ARKG,RHHBY,8973257.0,9051107,77850.0,0.87
2021-01-21,2021-01-22,ARKQ,PRLB,280592.0,280592,0.0,0.0
2021-01-21,2021-01-22,ARKG,REGN,804162.0,811146,6984.0,0.87
2021-01-21,2021-01-22,ARKG,ONVO ,374190.0,374190,0.0,0.0
2021-01-21,2021-01-22,ARKQ,ONVO ,197165.0,197165,0.0,0.0
2021-01-21,2021-01-22,ARKW,OPEN,3907924.0,3956714,48790.0,1.25
2021-01-21,2021-01-22,ARKF,OPEN,1655701.0,1655701,0.0,0.0
2021-01-21,2021-01-22,ARKG,PACB,18274033.0,18274033,0.0,0.0
2021-01-21,2021-01-22,ARKK,PACB,7257224.0,7257224,0.0,0.0
2021-01-21,2021-01-22,ARKK,PCAR,399823.0,450058,50235.0,12.56
2021-01-21,2021-01-22,ARKK,PD,7552637.0,7552637,0.0,0.0
2021-01-21,2021-01-22,ARKW,PD,2226551.0,2226551,0.0,0.0
2021-01-21,2021-01-22,ARKF,PDD,225676.0,225676,0.0,0.0
2021-01-21,2021-01-22,ARKG,PHR,1655897.0,1670261,14364.0,0.87
2021-01-21,2021-01-22,ARKF,PINS,1417412.0,1417412,0.0,0.0
2021-01-21,2021-01-22,ARKK,REGN,469845.0,472562,2717.0,0.58
2021-01-21,2021-01-22,ARKW,PINS,1919528.0,1943488,23960.0,1.25
2021-01-21,2021-01-22,ARKW,PLTR,1974507.0,1999167,24660.0,1.25
2021-01-21,2021-01-22,ARKK,PRLB,3157475.0,3157475,0.0,0.0
2021-01-21,2021-01-22,ARKG,PSNL,6739994.0,6739994,0.0,0.0
2021-01-21,2021-01-22,ARKW,PSTG,6536496.0,6536496,0.0,0.0
2021-01-21,2021-01-22,ARKG,PSTG,8710400.0,8710400,0.0,0.0
2021-01-21,2021-01-22,ARKK,PSTG,22255488.0,22255488,0.0,0.0
2021-01-21,2021-01-22,ARKG,PSTI,3836111.0,3836111,0.0,0.0
2021-01-21,2021-01-22,ARKW,PTON,490832.0,496962,6130.0,1.25
2021-01-21,2021-01-22,ARKW,PYPL,542673.0,549443,6770.0,1.25
2021-01-21,2021-01-22,ARKK,PYPL,2058794.0,2151597,92803.0,4.51
2021-01-21,2021-01-22,ARKF,PYPL,390605.0,390605,0.0,0.0
2021-01-21,2021-01-22,ARKQ,RAVN,809620.0,816225,6605.0,0.82
2021-01-21,2021-01-22,ARKK,PINS,3127190.0,3195729,68539.0,2.19
2021-01-21,2021-01-22,ARKW,SQ,1147174.0,1161494,14320.0,1.25
2021-01-21,2021-01-22,ARKK,ONVO ,531196.0,522920,-8276.0,-1.56
2021-01-21,2021-01-22,ARKG,SRPT,1606358.0,1620290,13932.0,0.87
2021-01-21,2021-01-22,ARKK,TWLO,1318873.0,1326530,7657.0,0.58
2021-01-21,2021-01-22,ARKW,TWLO,316918.0,320878,3960.0,1.25
2021-01-21,2021-01-22,ARKF,TWLO,183624.0,183624,0.0,0.0
2021-01-21,2021-01-22,ARKQ,TWOU,1201373.0,1201373,0.0,0.0
2021-01-21,2021-01-22,ARKK,TWOU,8055366.0,8055366,0.0,0.0
2021-01-21,2021-01-22,ARKW,TWOU,1882940.0,1882940,0.0,0.0
2021-01-21,2021-01-22,ARKG,TWST,3704396.0,3694894,-9502.0,-0.26
2021-01-21,2021-01-22,ARKK,TWST,2874603.0,2891285,16682.0,0.58
2021-01-21,2021-01-22,ARKK,TXG,1387026.0,1432006,44980.0,3.24
2021-01-21,2021-01-22,ARKG,TXG,671256.0,677088,5832.0,0.87
2021-01-21,2021-01-22,ARKK,U,1799399.0,1809849,10450.0,0.58
2021-01-21,2021-01-22,ARKW,U,535598.0,542288,6690.0,1.25
2021-01-21,2021-01-22,ARKW,TTD,90736.0,91866,1130.0,1.25
2021-01-21,2021-01-22,ARKW,VCYT,1645791.0,1645791,0.0,0.0
2021-01-21,2021-01-22,ARKG,VCYT,2154080.0,2154080,0.0,0.0
2021-01-21,2021-01-22,ARKG,VEEV,469150.0,540364,71214.0,15.18
2021-01-21,2021-01-22,ARKF,VRSK,94689.0,94689,0.0,0.0
2021-01-21,2021-01-22,ARKG,VRTX,1569131.0,1605039,35908.0,2.29
2021-01-21,2021-01-22,ARKF,WDAY,203291.0,203291,0.0,0.0
2021-01-21,2021-01-22,ARKQ,WKHS,1989273.0,2005498,16225.0,0.82
2021-01-21,2021-01-22,ARKQ,XLNX,225553.0,227393,1840.0,0.82
2021-01-21,2021-01-22,ARKQ,XONE,997483.0,997483,0.0,0.0
2021-01-21,2021-01-22,ARKF,Z,825352.0,825352,0.0,0.0
2021-01-21,2021-01-22,ARKK,Z,4851052.0,4879210,28158.0,0.58
2021-01-21,2021-01-22,ARKW,Z,871099.0,881969,10870.0,1.25
2021-01-21,2021-01-22,ARKW,ZM,338985.0,343215,4230.0,1.25
2021-01-21,2021-01-22,ARKK,VCYT,4841473.0,4841473,0.0,0.0
2021-01-21,2021-01-22,ARKF,TSM,309161.0,309161,0.0,0.0
2021-01-21,2021-01-22,ARKK,TSM,3145525.0,3709659,564134.0,17.93
2021-01-21,2021-01-22,ARKQ,TSM,660112.0,729835,69723.0,10.56
2021-01-21,2021-01-22,ARKQ,SSYS,1544348.0,1544348,0.0,0.0
2021-01-21,2021-01-22,ARKK,SSYS,7049806.0,7049806,0.0,0.0
2021-01-21,2021-01-22,ARKG,SURF,3460173.0,3490197,30024.0,0.87
2021-01-21,2021-01-22,ARKK,SYRS,5056505.0,5056505,0.0,0.0
2021-01-21,2021-01-22,ARKG,SYRS,3159384.0,3159384,0.0,0.0
2021-01-21,2021-01-22,ARKG,TAK UN,16111642.0,17859927,1748285.0,10.85
2021-01-21,2021-01-22,ARKK,TCEHY,5870858.0,5904925,34067.0,0.58
2021-01-21,2021-01-22,ARKW,TCEHY,2563227.0,2595227,32000.0,1.25
2021-01-21,2021-01-22,ARKF,TCEHY,1419912.0,1419912,0.0,0.0
2021-01-21,2021-01-22,ARKQ,TCEHY,383994.0,387129,3135.0,0.82
2021-01-21,2021-01-22,ARKF,TCS LI,836945.0,836945,0.0,0.0
2021-01-21,2021-01-22,ARKF,TDOC,152042.0,152042,0.0,0.0
2021-01-21,2021-01-22,ARKK,TDOC,4474063.0,4500017,25954.0,0.58
2021-01-21,2021-01-22,ARKW,TDOC,1038335.0,1051295,12960.0,1.25
2021-01-21,2021-01-22,ARKG,TDOC,3203149.0,3230941,27792.0,0.87
2021-01-21,2021-01-22,ARKQ,TDY,103700.0,104545,845.0,0.81
2021-01-21,2021-01-22,ARKW,TEAM,244041.0,247091,3050.0,1.25
2021-01-21,2021-01-22,ARKQ,TER,327225.0,329895,2670.0,0.82
2021-01-21,2021-01-22,ARKG,TMO,238461.0,308175,69714.0,29.23
2021-01-21,2021-01-22,ARKF,TREE UW,172402.0,172402,0.0,0.0
2021-01-21,2021-01-22,ARKW,TREE UW,354957.0,354957,0.0,0.0
2021-01-21,2021-01-22,ARKK,TREE UW,1224240.0,1224240,0.0,0.0
2021-01-21,2021-01-22,ARKQ,TRMB,1764266.0,1778656,14390.0,0.82
2021-01-21,2021-01-22,ARKQ,TSLA,365794.0,368779,2985.0,0.82
2021-01-21,2021-01-22,ARKW,TSLA,724999.0,734049,9050.0,1.25
2021-01-21,2021-01-22,ARKK,TSLA,2576672.0,2591625,14953.0,0.58
2021-01-21,2021-01-22,ARKW,TSM,522243.0,679037,156794.0,30.02
