date,fund,company,ticker,shares,weight(%)
1/26/2021,ARKQ,APPLE INC,AAPL,215450.00,1.03
1/26/2021,ARKW,APPLE INC,AAPL,481530.00,1.03
1/26/2021,ARKF,APPLE INC,AAPL,435980.00,2.27
1/26/2021,ARKG,ACCOLADE INC,ACCD,3862508.00,1.84
1/26/2021,ARKW,ADOBE INC,ADBE,151579.00,1.08
1/26/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1988210.00,1.10
1/26/2021,ARKQ,AUTODESK INC,ADSK,80596.00,0.79
1/26/2021,ARKF,ADYEN NV,ADYEN,40914.00,3.35
1/26/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1568628.00,1.06
1/26/2021,ARKF,AMAZON.COM INC,AMZN,20566.00,2.48
1/26/2021,ARKQ,AMAZON.COM INC,AMZN,9117.00,1.01
1/26/2021,ARKQ,ANSYS INC,ANSS,92837.00,1.14
1/26/2021,ARKW,AGORA INC-ADR,API,2490418.00,2.05
1/26/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.91
1/26/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.27
1/26/2021,ARKQ,AEROVIRONMENT INC,AVAV,551433.00,2.32
1/26/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,324584.00,1.29
1/26/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,321486.00,3.10
1/26/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1771641.00,1.41
1/26/2021,ARKK,KE HOLDINGS INC,BEKE,5045763.00,1.37
1/26/2021,ARKF,KE HOLDINGS INC,BEKE,437909.00,1.01
1/26/2021,ARKW,KE HOLDINGS INC,BEKE,1453991.00,1.38
1/26/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2727095.00,2.88
1/26/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,523135.00,4.35
1/26/2021,ARKW,BAIDU INC - SPON ADR,BIDU,426895.00,1.58
1/26/2021,ARKG,BERKELEY LIGHTS INC,BLI,2339427.00,1.52
1/26/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,2701296.00,1.55
1/26/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1257885.00,2.88
1/26/2021,ARKQ,CATERPILLAR INC,CAT,386810.00,2.42
1/26/2021,ARKG,CAREDX INC,CDNA,5225412.00,3.66
1/26/2021,ARKG,CODEXIS INC,CDXS,5196294.00,1.14
1/26/2021,ARKG,CERUS CORP,CERS,8154380.00,0.50
1/26/2021,ARKK,CERUS CORP,CERS,19017173.00,0.56
1/26/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.63
1/26/2021,ARKK,COMPUGEN LTD,CGEN,10005386.00,0.53
1/26/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.61
1/26/2021,ARKW,SALESFORCE.COM INC,CRM,344943.00,1.17
1/26/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6055947.00,4.37
1/26/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2307223.00,3.47
