date,fund,company,ticker,shares,weight(%)
1/4/2021,ARKQ,APPLE INC,AAPL,150378,1.13
1/4/2021,ARKW,APPLE INC,AAPL,427526,1.04
1/4/2021,ARKF,APPLE INC,AAPL,339578,2.25
1/4/2021,ARKG,ACCOLADE INC,ACCD,2378904,1.26
1/4/2021,ARKW,ADOBE INC,ADBE,108819,1
1/4/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1552505,1.11
1/4/2021,ARKQ,AUTODESK INC,ADSK,56292,0.97
1/4/2021,ARKF,ADYEN NV,ADYEN,31874,3.71
1/4/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1140257,0.98
1/4/2021,ARKF,AMAZON.COM INC,AMZN,16046,2.61
1/4/2021,ARKQ,AMAZON.COM INC,AMZN,6373,1.18
1/4/2021,ARKQ,ANSYS INC,ANSS,64809,1.34
1/4/2021,ARKW,AGORA INC-ADR,API,1587336,1.19
1/4/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409,0.97
1/4/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339,2.46
1/4/2021,ARKQ,AEROVIRONMENT INC,AVAV,413110,2.06
1/4/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,250371,2.92
1/4/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,288152,1.24
1/4/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1137043,1.21
1/4/2021,ARKF,KE HOLDINGS INC,BEKE,341055,1
1/4/2021,ARKW,KE HOLDINGS INC,BEKE,1290860,1.4
1/4/2021,ARKK,KE HOLDINGS INC,BEKE,4387220,1.41
1/4/2021,ARKW,BAIDU INC - SPON ADR,BIDU,186608,0.76
1/4/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,267140,3.36
1/4/2021,ARKK,BAIDU INC - SPON ADR,BIDU,1723504,2.09
1/4/2021,ARKG,BERKELEY LIGHTS INC,BLI,1483610,1.59
1/4/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,877993,2.86
1/4/2021,ARKQ,CATERPILLAR INC,CAT,253524,2.68
1/4/2021,ARKG,CAREDX INC,CDNA,4080301,3.73
1/4/2021,ARKG,CODEXIS INC,CDXS,3980945,1.09
1/4/2021,ARKK,CERUS CORP,CERS,19069641,0.74
1/4/2021,ARKG,CERUS CORP,CERS,8154380,0.72
1/4/2021,ARKG,COMPUGEN LTD,CGEN,5721282,0.93
1/4/2021,ARKK,COMPUGEN LTD,CGEN,10855726,0.78
1/4/2021,ARKG,CELLECTIS - ADR,CLLS,6036351,2.13
1/4/2021,ARKW,SALESFORCE.COM INC,CRM,225782,0.94
1/4/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6384590,5.65
1/4/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2846901,5.76
1/4/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,259858,0.98
1/4/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2078304,1.83
1/4/2021,ARKQ,DEERE & CO,DE,252147,3.91
1/4/2021,ARKK,DOCUSIGN INC,DOCU,1524399,1.9
1/4/2021,ARKF,DOCUSIGN INC,DOCU,201294,2.29
1/4/2021,ARKW,DOCUSIGN INC,DOCU,346001,1.45
1/4/2021,ARKF,DISCOVERY LTD,DSY,2290564,1.23
1/4/2021,ARKG,EDITAS MEDICINE INC,EDIT,1812076,1.66
1/4/2021,ARKK,EDITAS MEDICINE INC,EDIT,6772555,2.72
1/4/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,130354,0.98
1/4/2021,ARKG,EVOGENE LTD,EVGN,4583323,0.3
1/4/2021,ARKG,EXACT SCIENCES CORP,EXAS,2065738,3.4
1/4/2021,ARKK,EXACT SCIENCES CORP,EXAS,2740044,1.98
1/4/2021,ARKG,FATE THERAPEUTICS INC,FATE,2914657,3.34
1/4/2021,ARKW,FACEBOOK INC-CLASS A,FB,486410,2.47
1/4/2021,ARKF,FACEBOOK INC-CLASS A,FB,146456,2.01
1/4/2021,ARKQ,FLIR SYSTEMS INC,FLIR,1102579,3.34
1/4/2021,ARKW,FASTLY INC - CLASS A,FSLY,1151312,1.87
1/4/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,6198321,4.1
1/4/2021,ARKG,GUARDANT HEALTH INC,GH,542942,0.88
1/4/2021,ARKQ,ALPHABET INC-CL C,GOOG,37492,3.76
1/4/2021,ARKG,ALPHABET INC-CL A,GOOGL,94599,2.09
1/4/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,215425,1.39
1/4/2021,ARKF,HDFC BANK LTD-ADR,HDB,274954,0.98
1/4/2021,ARKQ,HONEYWELL INTERNATIONAL INC,HON,38064,0.46
1/4/2021,ARKW,HUBSPOT INC,HUBS,144842,1.06
1/4/2021,ARKW,HUYA INC-ADR,HUYA,4407357,1.71
1/4/2021,ARKK,HUYA INC-ADR,HUYA,6314402,0.73
1/4/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,703561,4.07
1/4/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2623725,1.67
1/4/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,884290,1.89
1/4/2021,ARKG,INCYTE CORP,INCY,1790614,1.98
1/4/2021,ARKF,INTUIT INC,INTU,88310,1.68
1/4/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,2411513,1.75
1/4/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,5911566,3.5
1/4/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,8723614,2.26
1/4/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,4775858,1.04
1/4/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,1406782,3.16
1/4/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,26276,1.22
1/4/2021,ARKW,JD.COM INC-ADR,JD,670587,1.09
1/4/2021,ARKF,JD.COM INC-ADR,JD,272206,1.2
1/4/2021,ARKQ,JD.COM INC-ADR,JD,763135,3.82
1/4/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,1514940,2.41
1/4/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,41379,0.14
1/4/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,2313094,3.54
1/4/2021,ARKF,LENDINGCLUB CORP,LC,1879598,0.91
1/4/2021,ARKW,LENDINGCLUB CORP,LC,4628718,0.83
1/4/2021,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,1515267,0.37
1/4/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,652996,2.23
1/4/2021,ARKG,908 DEVICES INC,MASS,440440,0.31
1/4/2021,ARKK,SERES THERAPEUTICS INC,MCRB,8435523,1.18
1/4/2021,ARKG,SERES THERAPEUTICS INC,MCRB,3552954,1.14
1/4/2021,ARKW,MERCADOLIBRE INC,MELI,45290,1.4
1/4/2021,ARKF,MERCADOLIBRE INC,MELI,53693,4.5
1/4/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,119123,0.48
1/4/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,16656,0.48
1/4/2021,ARKK,MATERIALISE NV-ADR,MTLS,6008935,1.84
1/4/2021,ARKQ,MATERIALISE NV-ADR,MTLS,2168895,6.86
1/4/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,732996,1.03
1/4/2021,ARKW,NETFLIX INC,NFLX,232122,2.29
1/4/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,901590,1.5
1/4/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,4848281,2.4
1/4/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,3660128,0.59
1/4/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,2446130,0.89
1/4/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,1024274,0.85
1/4/2021,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,875132,1.3
1/4/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,3072261,1.35
1/4/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2178866,1.56
1/4/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6603257,2.07
1/4/2021,ARKQ,NVIDIA CORP,NVDA,45764,1.39
1/4/2021,ARKF,NVIDIA CORP,NVDA,39850,1.07
1/4/2021,ARKW,NVIDIA CORP,NVDA,155090,1.54
1/4/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,2346446,2.83
1/4/2021,ARKK,INVITAE CORP,NVTA,17462614,4.27
1/4/2021,ARKG,INVITAE CORP,NVTA,6180483,3.45
1/4/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,331758,3.12
1/4/2021,ARKW,OKTA INC,OKTA,184881,0.87
1/4/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,197165,0.14
1/4/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,828825,0.06
1/4/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,374190,0.06
1/4/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,3146438,1.43
1/4/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,992323,1.22
1/4/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,7558875,1.12
1/4/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,19967366,6.74
1/4/2021,ARKW,PAGERDUTY INC,PD,2368160,1.84
1/4/2021,ARKK,PAGERDUTY INC,PD,7555149,1.74
1/4/2021,ARKF,PINDUODUO INC-ADR,PDD,182497,1.56
1/4/2021,ARKG,PHREESIA INC,PHR,1322333,0.89
1/4/2021,ARKW,PINTEREST INC- CLASS A,PINS,1744563,2.24
1/4/2021,ARKK,PINTEREST INC- CLASS A,PINS,2248330,0.86
1/4/2021,ARKF,PINTEREST INC- CLASS A,PINS,1146504,3.99
1/4/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,1331762,0.59
1/4/2021,ARKQ,PROTO LABS INC,PRLB,306881,2.67
1/4/2021,ARKK,PROTO LABS INC,PRLB,3215376,2.71
1/4/2021,ARKG,PERSONALIS INC,PSNL,6739994,3
1/4/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,22177947,2.85
1/4/2021,ARKW,PURE STORAGE INC - CLASS A,PSTG,6820682,2.95
1/4/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,8689424,2.55
1/4/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,3826867,0.35
1/4/2021,ARKW,PELOTON INTERACTIVE INC-A,PTON,446083,1.23
1/4/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,315969,3.74
1/4/2021,ARKW,PAYPAL HOLDINGS INC,PYPL,493195,2.16
1/4/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,1541522,2
1/4/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,510133,0.95
1/4/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,538836,3.33
1/4/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,5631272,3.16
1/4/2021,ARKQ,ROCKWELL AUTOMATION INC,ROK,56737,0.81
1/4/2021,ARKW,ROKU INC,ROKU,878313,5.27
1/4/2021,ARKK,ROKU INC,ROKU,3729028,6.64
1/4/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,650991,0.3
1/4/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,480492,1.3
1/4/2021,ARKG,SCHRODINGER INC,SDGR,1402047,1.43
1/4/2021,ARKK,SEA LTD-ADR,SE,862203,0.95
1/4/2021,ARKW,SEA LTD-ADR,SE,564217,2.09
1/4/2021,ARKF,SEA LTD-ADR,SE,360350,3.61
1/4/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,308241,1.89
1/4/2021,ARKW,SHOPIFY INC - CLASS A,SHOP,93846,1.93
1/4/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,35708,1.99
1/4/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,622231,2.13
1/4/2021,ARKW,SKILLZ INC,SKLZ,215897,0.07
1/4/2021,ARKW,SNAP INC - A,SNAP,2387863,2.23
1/4/2021,ARKF,SNAP INC - A,SNAP,949476,2.41
1/4/2021,ARKQ,SYNOPSYS INC,SNPS,125949,1.86
1/4/2021,ARKK,SYNOPSYS INC,SNPS,663698,0.95
