date,fund,company,ticker,shares,weight(%)
1/6/2021,ARKQ,APPLE INC,AAPL,157350.00,1.06
1/6/2021,ARKW,APPLE INC,AAPL,431048.00,1.01
1/6/2021,ARKF,APPLE INC,AAPL,354950.00,2.19
1/6/2021,ARKG,ACCOLADE INC,ACCD,2444960.00,1.34
1/6/2021,ARKW,ADOBE INC,ADBE,109719.00,0.94
1/6/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1595607.00,1.11
1/6/2021,ARKQ,AUTODESK INC,ADSK,58896.00,0.95
1/6/2021,ARKF,ADYEN NV,ADYEN,33314.00,3.47
1/6/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1149654.00,0.91
1/6/2021,ARKF,AMAZON.COM INC,AMZN,16766.00,2.56
1/6/2021,ARKQ,AMAZON.COM INC,AMZN,6667.00,1.12
1/6/2021,ARKQ,ANSYS INC,ANSS,67812.00,1.27
1/6/2021,ARKW,AGORA INC-ADR,API,1600422.00,1.28
1/6/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.90
1/6/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.41
1/6/2021,ARKQ,AEROVIRONMENT INC,AVAV,432262.00,2.06
1/6/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,261711.00,2.90
1/6/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,290528.00,1.22
1/6/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1168641.00,1.23
1/6/2021,ARKF,KE HOLDINGS INC,BEKE,356499.00,1.07
1/6/2021,ARKW,KE HOLDINGS INC,BEKE,1301498.00,1.48
1/6/2021,ARKK,KE HOLDINGS INC,BEKE,4440700.00,1.47
1/6/2021,ARKW,BAIDU INC - SPON ADR,BIDU,188145.00,0.71
1/6/2021,ARKK,BAIDU INC - SPON ADR,BIDU,1744504.00,1.91
1/6/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,279530.00,3.04
1/6/2021,ARKG,BERKELEY LIGHTS INC,BLI,1687636.00,1.84
1/6/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,918691.00,2.85
1/6/2021,ARKQ,CATERPILLAR INC,CAT,265284.00,2.74
1/6/2021,ARKG,CAREDX INC,CDNA,4193599.00,3.80
1/6/2021,ARKG,CODEXIS INC,CDXS,4091525.00,1.09
1/6/2021,ARKK,CERUS CORP,CERS,19069641.00,0.71
1/6/2021,ARKG,CERUS CORP,CERS,8154380.00,0.71
