date,fund,company,ticker,shares,weight(%)
1/22/2021,ARKQ,APPLE INC,AAPL,205158.00,1.01
1/22/2021,ARKW,APPLE INC,AAPL,476247.00,0.99
1/22/2021,ARKF,APPLE INC,AAPL,419854.00,2.17
1/22/2021,ARKG,ACCOLADE INC,ACCD,3379392.00,1.71
1/22/2021,ARKW,ADOBE INC,ADBE,149914.00,1.06
1/22/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1961037.00,1.14
1/22/2021,ARKQ,AUTODESK INC,ADSK,76752.00,0.81
1/22/2021,ARKF,ADYEN NV,ADYEN,39394.00,3.41
1/22/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1465601.00,1.03
1/22/2021,ARKF,AMAZON.COM INC,AMZN,19806.00,2.42
1/22/2021,ARKQ,AMAZON.COM INC,AMZN,8683.00,1.01
1/22/2021,ARKQ,ANSYS INC,ANSS,88404.00,1.17
1/22/2021,ARKW,AGORA INC-ADR,API,1768357.00,1.22
1/22/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.89
1/22/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.28
1/22/2021,ARKQ,AEROVIRONMENT INC,AVAV,563590.00,2.65
1/22/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,321020.00,1.24
1/22/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,309591.00,2.97
1/22/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1722702.00,1.47
1/22/2021,ARKW,KE HOLDINGS INC,BEKE,1438040.00,1.53
1/22/2021,ARKF,KE HOLDINGS INC,BEKE,421707.00,1.12
1/22/2021,ARKK,KE HOLDINGS INC,BEKE,5032011.00,1.48
1/22/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2719661.00,2.83
1/22/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,498149.00,4.45
1/22/2021,ARKW,BAIDU INC - SPON ADR,BIDU,422212.00,1.59
1/22/2021,ARKG,BERKELEY LIGHTS INC,BLI,2307463.00,1.60
1/22/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,2664379.00,1.47
1/22/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1197807.00,2.81
1/22/2021,ARKQ,CATERPILLAR INC,CAT,368334.00,2.50
1/22/2021,ARKG,CAREDX INC,CDNA,5154008.00,3.77
1/22/2021,ARKG,CODEXIS INC,CDXS,5028687.00,1.12
