date,fund,company,ticker,shares,weight(%)
1/12/2021,ARKQ,APPLE INC,AAPL,176938.00,1.01
1/12/2021,ARKW,APPLE INC,AAPL,450419.00,0.95
1/12/2021,ARKF,APPLE INC,AAPL,375019.00,2.12
1/12/2021,ARKG,ACCOLADE INC,ACCD,2693664.00,1.29
1/12/2021,ARKW,ADOBE INC,ADBE,114669.00,0.89
1/12/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1706173.00,1.11
1/12/2021,ARKQ,AUTODESK INC,ADSK,66212.00,0.94
1/12/2021,ARKF,ADYEN NV,ADYEN,35194.00,3.31
1/12/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1201365.00,0.85
1/12/2021,ARKF,AMAZON.COM INC,AMZN,17706.00,2.42
1/12/2021,ARKQ,AMAZON.COM INC,AMZN,7493.00,1.04
1/12/2021,ARKQ,ANSYS INC,ANSS,76249.00,1.26
1/12/2021,ARKW,AGORA INC-ADR,API,1672409.00,1.09
1/12/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.86
1/12/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.57
1/12/2021,ARKQ,AEROVIRONMENT INC,AVAV,486070.00,2.06
1/12/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,303596.00,1.12
1/12/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,276516.00,2.74
1/12/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1249612.00,1.26
1/12/2021,ARKK,KE HOLDINGS INC,BEKE,4683652.00,1.42
1/12/2021,ARKF,KE HOLDINGS INC,BEKE,376662.00,1.09
1/12/2021,ARKW,KE HOLDINGS INC,BEKE,1360021.00,1.47
1/12/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2531358.00,2.79
1/12/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,385351.00,4.10
1/12/2021,ARKW,BAIDU INC - SPON ADR,BIDU,399301.00,1.57
1/12/2021,ARKG,BERKELEY LIGHTS INC,BLI,2007568.00,1.83
1/12/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,1469267.00,1.00
1/12/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1033052.00,3.12
1/12/2021,ARKQ,CATERPILLAR INC,CAT,298324.00,2.62
1/12/2021,ARKG,CAREDX INC,CDNA,4484222.00,3.87
1/12/2021,ARKG,CODEXIS INC,CDXS,4375068.00,1.02
1/12/2021,ARKG,CERUS CORP,CERS,8154380.00,0.62
1/12/2021,ARKK,CERUS CORP,CERS,19063301.00,0.64
1/12/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.76
1/12/2021,ARKK,COMPUGEN LTD,CGEN,10601667.00,0.62
1/12/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.75
1/12/2021,ARKW,SALESFORCE.COM INC,CRM,237872.00,0.84
1/12/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2717981.00,5.37
1/12/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6327406.00,5.53
1/12/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,273781.00,1.05
1/12/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2284109.00,1.87
1/12/2021,ARKQ,DEERE & CO,DE,332070.00,4.45
1/12/2021,ARKF,DOCUSIGN INC,DOCU,222293.00,2.56
1/12/2021,ARKK,DOCUSIGN INC,DOCU,1627413.00,1.96
1/12/2021,ARKW,DOCUSIGN INC,DOCU,426198.00,1.83
1/12/2021,ARKF,DISCOVERY LTD,DSY,2529560.00,1.07
1/12/2021,ARKK,EDITAS MEDICINE INC,EDIT,6655763.00,2.29
1/12/2021,ARKG,EDITAS MEDICINE INC,EDIT,1812076.00,1.41
1/12/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,155641.00,0.93
1/12/2021,ARKG,EVOGENE LTD,EVGN,4583323.00,0.25
1/12/2021,ARKG,EXACT SCIENCES CORP,EXAS,2270246.00,3.50
1/12/2021,ARKK,EXACT SCIENCES CORP,EXAS,3140050.00,2.14
1/12/2021,ARKQ,EXPERIENCE INVESTMENT-A,EXPC,51339.00,0.03
1/12/2021,ARKK,FATE THERAPEUTICS INC,FATE,263674.00,0.14
1/12/2021,ARKG,FATE THERAPEUTICS INC,FATE,3203133.00,3.73
1/12/2021,ARKW,FACEBOOK INC-CLASS A,FB,512462.00,2.11
1/12/2021,ARKF,FACEBOOK INC-CLASS A,FB,161728.00,1.78
1/12/2021,ARKQ,FLIR SYSTEMS INC,FLIR,668399.00,1.59
