date,fund,company,ticker,shares,weight(%)
1/25/2021,ARKQ,APPLE INC,AAPL,214454.00,1.03
1/25/2021,ARKW,APPLE INC,AAPL,479769.00,1.01
1/25/2021,ARKF,APPLE INC,AAPL,425405.00,2.20
1/25/2021,ARKG,ACCOLADE INC,ACCD,3851588.00,1.80
1/25/2021,ARKW,ADOBE INC,ADBE,151024.00,1.05
1/25/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1982588.00,1.10
1/25/2021,ARKQ,AUTODESK INC,ADSK,80224.00,0.79
1/25/2021,ARKF,ADYEN NV,ADYEN,39914.00,3.29
1/25/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1543161.00,1.05
1/25/2021,ARKF,AMAZON.COM INC,AMZN,20066.00,2.39
1/25/2021,ARKQ,AMAZON.COM INC,AMZN,9075.00,1.00
1/25/2021,ARKQ,ANSYS INC,ANSS,92408.00,1.14
1/25/2021,ARKW,AGORA INC-ADR,API,2006956.00,1.40
1/25/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.89
1/25/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.31
1/25/2021,ARKQ,AEROVIRONMENT INC,AVAV,580736.00,2.62
1/25/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,323396.00,1.25
1/25/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,313686.00,2.97
1/25/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1766631.00,1.53
1/25/2021,ARKW,KE HOLDINGS INC,BEKE,1448672.00,1.51
1/25/2021,ARKF,KE HOLDINGS INC,BEKE,427284.00,1.10
1/25/2021,ARKK,KE HOLDINGS INC,BEKE,5050347.00,1.47
1/25/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2729573.00,2.87
1/25/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,520717.00,4.46
1/25/2021,ARKW,BAIDU INC - SPON ADR,BIDU,425332.00,1.60
1/25/2021,ARKG,BERKELEY LIGHTS INC,BLI,2332809.00,1.58
1/25/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,2693658.00,1.48
1/25/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1252071.00,2.97
1/25/2021,ARKQ,CATERPILLAR INC,CAT,385022.00,2.42
1/25/2021,ARKG,CAREDX INC,CDNA,5210634.00,3.78
1/25/2021,ARKG,CODEXIS INC,CDXS,5123140.00,1.09
1/25/2021,ARKK,CERUS CORP,CERS,19063301.00,0.57
1/25/2021,ARKG,CERUS CORP,CERS,8154380.00,0.50
1/25/2021,ARKK,COMPUGEN LTD,CGEN,10029658.00,0.52
1/25/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.61
1/25/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.60
1/25/2021,ARKW,SALESFORCE.COM INC,CRM,343680.00,1.14
1/25/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2307223.00,3.54
1/25/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6070635.00,4.53
1/25/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,291631.00,0.93
1/25/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2561434.00,1.64
1/25/2021,ARKQ,DEERE & CO,DE,418498.00,4.19
