date,fund,company,ticker,shares,weight(%)
1/8/2021,ARKQ,APPLE INC,AAPL,169634.00,1.02
1/8/2021,ARKW,APPLE INC,AAPL,439853.00,0.97
1/8/2021,ARKF,APPLE INC,AAPL,366052.00,2.16
1/8/2021,ARKG,ACCOLADE INC,ACCD,2643355.00,1.39
1/8/2021,ARKW,ADOBE INC,ADBE,111969.00,0.91
1/8/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1674315.00,1.07
1/8/2021,ARKQ,AUTODESK INC,ADSK,63484.00,0.92
1/8/2021,ARKF,ADYEN NV,ADYEN,34354.00,3.30
1/8/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1173159.00,0.85
1/8/2021,ARKF,AMAZON.COM INC,AMZN,17286.00,2.46
1/8/2021,ARKQ,AMAZON.COM INC,AMZN,7185.00,1.04
1/8/2021,ARKQ,ANSYS INC,ANSS,73103.00,1.25
1/8/2021,ARKW,AGORA INC-ADR,API,1633151.00,1.19
1/8/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.86
1/8/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.91
1/8/2021,ARKQ,AEROVIRONMENT INC,AVAV,466006.00,1.97
1/8/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,269901.00,2.86
1/8/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,296468.00,1.17
1/8/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1226265.00,1.32
1/8/2021,ARKF,KE HOLDINGS INC,BEKE,367653.00,1.07
1/8/2021,ARKW,KE HOLDINGS INC,BEKE,1328107.00,1.45
1/8/2021,ARKK,KE HOLDINGS INC,BEKE,4595028.00,1.42
1/8/2021,ARKW,BAIDU INC - SPON ADR,BIDU,328767.00,1.32
1/8/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2039506.00,2.32
1/8/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,324740.00,3.55
1/8/2021,ARKG,BERKELEY LIGHTS INC,BLI,1970077.00,1.86
1/8/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,990416.00,2.83
1/8/2021,ARKQ,CATERPILLAR INC,CAT,286004.00,2.53
1/8/2021,ARKG,CAREDX INC,CDNA,4400491.00,3.77
1/8/2021,ARKG,CODEXIS INC,CDXS,4293377.00,1.07
1/8/2021,ARKK,CERUS CORP,CERS,19069641.00,0.66
1/8/2021,ARKG,CERUS CORP,CERS,8154380.00,0.64
1/8/2021,ARKK,COMPUGEN LTD,CGEN,10671629.00,0.67
1/8/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.81
1/8/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.90
1/8/2021,ARKW,SALESFORCE.COM INC,CRM,232292.00,0.86
1/8/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2717981.00,5.60
1/8/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6329510.00,5.80
1/8/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,267355.00,1.00
1/8/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2241450.00,1.90
1/8/2021,ARKQ,DEERE & CO,DE,318364.00,4.26
1/8/2021,ARKK,DOCUSIGN INC,DOCU,1596615.00,1.85
1/8/2021,ARKF,DOCUSIGN INC,DOCU,216980.00,2.38
1/8/2021,ARKW,DOCUSIGN INC,DOCU,416190.00,1.70
1/8/2021,ARKF,DISCOVERY LTD,DSY,2469059.00,1.10
1/8/2021,ARKG,EDITAS MEDICINE INC,EDIT,1812076.00,1.74
1/8/2021,ARKK,EDITAS MEDICINE INC,EDIT,6657976.00,2.85
1/8/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,147058.00,0.86
1/8/2021,ARKG,EVOGENE LTD,EVGN,4583323.00,0.24
1/8/2021,ARKG,EXACT SCIENCES CORP,EXAS,2227848.00,3.10
1/8/2021,ARKK,EXACT SCIENCES CORP,EXAS,3080658.00,1.91
1/8/2021,ARKG,FATE THERAPEUTICS INC,FATE,3143327.00,3.88
1/8/2021,ARKK,FATE THERAPEUTICS INC,FATE,258686.00,0.14
1/8/2021,ARKF,FACEBOOK INC-CLASS A,FB,157864.00,1.89
1/8/2021,ARKW,FACEBOOK INC-CLASS A,FB,500438.00,2.24
1/8/2021,ARKQ,FLIR SYSTEMS INC,FLIR,1243770.00,2.98
1/8/2021,ARKW,FASTLY INC - CLASS A,FSLY,1184534.00,1.75
1/8/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,6377149.00,4.73
1/8/2021,ARKG,GUARDANT HEALTH INC,GH,585582.00,0.89
1/8/2021,ARKQ,ALPHABET INC-CL C,GOOG,42306.00,3.48
1/8/2021,ARKG,ALPHABET INC-CL A,GOOGL,102009.00,1.95
1/8/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,232227.00,1.36
1/8/2021,ARKF,HDFC BANK LTD-ADR,HDB,296406.00,0.97
1/8/2021,ARKQ,HONEYWELL INTERNATIONAL INC,HON,42936.00,0.41
1/8/2021,ARKW,HUBSPOT INC,HUBS,149021.00,1.00
1/8/2021,ARKK,HUYA INC-ADR,HUYA,6613490.00,0.66
1/8/2021,ARKW,HUYA INC-ADR,HUYA,4534520.00,1.60
1/8/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,795317.00,4.19
1/8/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2748029.00,1.53
1/8/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,1033671.00,2.03
1/8/2021,ARKG,INCYTE CORP,INCY,1931144.00,1.92
1/8/2021,ARKF,INTUIT INC,INTU,95192.00,1.60
1/8/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,2600789.00,1.69
1/8/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,6375406.00,3.42
1/8/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,9136769.00,2.18
1/8/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,5002026.00,1.02
1/8/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,1586949.00,3.12
1/8/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,29640.00,1.10
1/8/2021,ARKW,JD.COM INC-ADR,JD,689928.00,1.05
1/8/2021,ARKF,JD.COM INC-ADR,JD,293410.00,1.20
1/8/2021,ARKQ,JD.COM INC-ADR,JD,860865.00,3.59
1/8/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,1708936.00,2.33
1/8/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,44603.00,0.13
1/8/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,2727884.00,3.30
1/8/2021,ARKF,LENDINGCLUB CORP,LC,1879598.00,0.95
1/8/2021,ARKW,LENDINGCLUB CORP,LC,4628718.00,0.87
1/8/2021,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,1634275.00,0.35
1/8/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,702596.00,2.13
1/8/2021,ARKG,908 DEVICES INC,MASS,475020.00,0.27
1/8/2021,ARKK,SERES THERAPEUTICS INC,MCRB,8271847.00,1.08
1/8/2021,ARKG,SERES THERAPEUTICS INC,MCRB,3552954.00,1.04
1/8/2021,ARKW,MERCADOLIBRE INC,MELI,46592.00,1.34
1/8/2021,ARKF,MERCADOLIBRE INC,MELI,57847.00,4.45
1/8/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,410429.00,1.42
1/8/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,17958.00,0.44
1/8/2021,ARKK,MATERIALISE NV-ADR,MTLS,6008935.00,2.00
1/8/2021,ARKQ,MATERIALISE NV-ADR,MTLS,2446618.00,7.84
1/8/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,754143.00,1.00
1/8/2021,ARKW,NETFLIX INC,NFLX,238821.00,2.04
1/8/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,1017035.00,1.64
1/8/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,5469167.00,2.27
1/8/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,3765731.00,0.57
1/8/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,2407871.00,0.75
1/8/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,1104656.00,0.77
1/8/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,3217781.00,1.22
1/8/2021,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,900374.00,1.20
1/8/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6459007.00,2.39
1/8/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2178866.00,1.81
1/8/2021,ARKF,NVIDIA CORP,NVDA,42950.00,1.02
1/8/2021,ARKQ,NVIDIA CORP,NVDA,51622.00,1.25
1/8/2021,ARKW,NVIDIA CORP,NVDA,159563.00,1.42
1/8/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,2530526.00,2.53
1/8/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,276173.00,0.12
1/8/2021,ARKK,INVITAE CORP,NVTA,17462614.00,4.22
1/8/2021,ARKG,INVITAE CORP,NVTA,6180483.00,3.36
1/8/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,374233.00,2.98
1/8/2021,ARKW,OKTA INC,OKTA,190215.00,0.80
1/8/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,781085.00,0.05
1/8/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,197165.00,0.11
1/8/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,374190.00,0.05
1/8/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,1069673.00,1.28
1/8/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,3654202.00,1.64
1/8/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,19967366.00,7.78
1/8/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,7259637.00,1.26
1/8/2021,ARKK,PAGERDUTY INC,PD,7555149.00,1.59
1/8/2021,ARKW,PAGERDUTY INC,PD,2237999.00,1.66
1/8/2021,ARKF,PINDUODUO INC-ADR,PDD,196732.00,1.59
1/8/2021,ARKG,PHREESIA INC,PHR,1426073.00,0.87
1/8/2021,ARKW,PINTEREST INC- CLASS A,PINS,1794900.00,2.15
1/8/2021,ARKK,PINTEREST INC- CLASS A,PINS,2354818.00,0.80
1/8/2021,ARKF,PINTEREST INC- CLASS A,PINS,1235846.00,3.98
1/8/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,1370192.00,0.58
1/8/2021,ARKK,PROTO LABS INC,PRLB,3158525.00,2.77
1/8/2021,ARKQ,PROTO LABS INC,PRLB,280592.00,2.37
1/8/2021,ARKG,PERSONALIS INC,PSNL,6739994.00,2.58
1/8/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,8710400.00,2.20
