date,fund,company,ticker,shares,weight(%)
1/15/2021,ARKQ,APPLE INC,AAPL,186898.00,0.97
1/15/2021,ARKW,APPLE INC,AAPL,460985.00,0.95
1/15/2021,ARKF,APPLE INC,AAPL,395942.00,2.10
1/15/2021,ARKG,ACCOLADE INC,ACCD,2896287.00,1.45
1/15/2021,ARKW,ADOBE INC,ADBE,117356.00,0.87
1/15/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1834542.00,1.14
1/15/2021,ARKQ,AUTODESK INC,ADSK,69932.00,0.88
1/15/2021,ARKF,ADYEN NV,ADYEN,37154.00,3.35
1/15/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1229558.00,0.87
1/15/2021,ARKF,AMAZON.COM INC,AMZN,18686.00,2.42
1/15/2021,ARKQ,AMAZON.COM INC,AMZN,7913.00,1.01
1/15/2021,ARKQ,ANSYS INC,ANSS,80539.00,1.20
1/15/2021,ARKW,AGORA INC-ADR,API,1711654.00,1.03
1/15/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.90
1/15/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.24
1/15/2021,ARKQ,AEROVIRONMENT INC,AVAV,513430.00,2.45
1/15/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,310724.00,1.23
1/15/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,291951.00,2.96
1/15/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1343594.00,1.45
1/15/2021,ARKW,KE HOLDINGS INC,BEKE,1391942.00,1.41
1/15/2021,ARKF,KE HOLDINGS INC,BEKE,397683.00,1.03
1/15/2021,ARKK,KE HOLDINGS INC,BEKE,4836427.00,1.34
1/15/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2613933.00,2.78
1/15/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,407041.00,3.98
1/15/2021,ARKW,BAIDU INC - SPON ADR,BIDU,408666.00,1.59
1/15/2021,ARKG,BERKELEY LIGHTS INC,BLI,2158646.00,1.72
1/15/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,2003447.00,1.27
1/15/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1091217.00,2.68
1/15/2021,ARKQ,CATERPILLAR INC,CAT,335554.00,2.68
1/15/2021,ARKG,CAREDX INC,CDNA,4821620.00,4.05
1/15/2021,ARKG,CODEXIS INC,CDXS,4704323.00,1.14
1/15/2021,ARKG,CERUS CORP,CERS,8154380.00,0.56
1/15/2021,ARKK,CERUS CORP,CERS,19063301.00,0.61
1/15/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.71
1/15/2021,ARKK,COMPUGEN LTD,CGEN,10334101.00,0.60
1/15/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.78
1/15/2021,ARKW,SALESFORCE.COM INC,CRM,243452.00,0.84
1/15/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2598619.00,4.95
1/15/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6246733.00,5.55
1/15/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,280207.00,1.00
1/15/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2455907.00,1.74
1/15/2021,ARKQ,DEERE & CO,DE,364714.00,4.41
1/15/2021,ARKF,DOCUSIGN INC,DOCU,234690.00,2.44
1/15/2021,ARKK,DOCUSIGN INC,DOCU,1774260.00,1.97
