date,fund,company,ticker,shares,weight(%)
1/7/2021,ARKQ,APPLE INC,AAPL,163326.00,1.03
1/7/2021,ARKW,APPLE INC,AAPL,431635.00,0.98
1/7/2021,ARKF,APPLE INC,AAPL,356231.00,2.19
1/7/2021,ARKG,ACCOLADE INC,ACCD,2484951.00,1.32
1/7/2021,ARKW,ADOBE INC,ADBE,109869.00,0.91
1/7/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1619969.00,1.08
1/7/2021,ARKQ,AUTODESK INC,ADSK,61128.00,0.93
1/7/2021,ARKF,ADYEN NV,ADYEN,33434.00,3.31
1/7/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1151221.00,0.84
1/7/2021,ARKF,AMAZON.COM INC,AMZN,16826.00,2.50
1/7/2021,ARKQ,AMAZON.COM INC,AMZN,6919.00,1.06
1/7/2021,ARKQ,ANSYS INC,ANSS,70386.00,1.24
1/7/2021,ARKW,AGORA INC-ADR,API,1602603.00,1.20
1/7/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.98
1/7/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.98
1/7/2021,ARKQ,AEROVIRONMENT INC,AVAV,448678.00,1.97
1/7/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,262656.00,2.80
1/7/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,290924.00,1.15
1/7/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1186477.00,1.32
1/7/2021,ARKF,KE HOLDINGS INC,BEKE,357786.00,1.06
1/7/2021,ARKK,KE HOLDINGS INC,BEKE,4460564.00,1.39
1/7/2021,ARKW,KE HOLDINGS INC,BEKE,1303271.00,1.43
1/7/2021,ARKK,BAIDU INC - SPON ADR,BIDU,1979842.00,2.04
1/7/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,312656.00,3.14
1/7/2021,ARKW,BAIDU INC - SPON ADR,BIDU,322621.00,1.17
1/7/2021,ARKG,BERKELEY LIGHTS INC,BLI,1870421.00,1.88
1/7/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,953575.00,2.85
1/7/2021,ARKQ,CATERPILLAR INC,CAT,275364.00,2.58
1/7/2021,ARKG,CAREDX INC,CDNA,4257637.00,3.66
1/7/2021,ARKG,CODEXIS INC,CDXS,4154003.00,1.09
1/7/2021,ARKK,CERUS CORP,CERS,19069641.00,0.70
1/7/2021,ARKG,CERUS CORP,CERS,8154380.00,0.68
1/7/2021,ARKK,COMPUGEN LTD,CGEN,10784829.00,0.71
1/7/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.86
1/7/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.98
1/7/2021,ARKW,SALESFORCE.COM INC,CRM,227952.00,0.87
1/7/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2717981.00,5.97
1/7/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6329510.00,6.11
1/7/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,262357.00,1.01
1/7/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2168660.00,1.87
1/7/2021,ARKQ,DEERE & CO,DE,306527.00,4.44
1/7/2021,ARKK,DOCUSIGN INC,DOCU,1549887.00,1.84
1/7/2021,ARKF,DOCUSIGN INC,DOCU,211161.00,2.37
1/7/2021,ARKW,DOCUSIGN INC,DOCU,408406.00,1.70
1/7/2021,ARKF,DISCOVERY LTD,DSY,2402842.00,1.09
1/7/2021,ARKG,EDITAS MEDICINE INC,EDIT,1812076.00,1.84
1/7/2021,ARKK,EDITAS MEDICINE INC,EDIT,6657976.00,2.96
1/7/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,141586.00,0.88
1/7/2021,ARKG,EVOGENE LTD,EVGN,4583323.00,0.27
1/7/2021,ARKG,EXACT SCIENCES CORP,EXAS,2155522.00,3.18
1/7/2021,ARKK,EXACT SCIENCES CORP,EXAS,2890660.00,1.88
1/7/2021,ARKG,FATE THERAPEUTICS INC,FATE,3041305.00,4.03
1/7/2021,ARKK,FATE THERAPEUTICS INC,FATE,251118.00,0.15
1/7/2021,ARKF,FACEBOOK INC-CLASS A,FB,153632.00,1.94
1/7/2021,ARKW,FACEBOOK INC-CLASS A,FB,491086.00,2.30
1/7/2021,ARKQ,FLIR SYSTEMS INC,FLIR,1197505.00,3.00
1/7/2021,ARKW,FASTLY INC - CLASS A,FSLY,1162386.00,1.76
1/7/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,6257925.00,4.90
1/7/2021,ARKG,GUARDANT HEALTH INC,GH,566558.00,0.89
1/7/2021,ARKQ,ALPHABET INC-CL C,GOOG,40729.00,3.51
1/7/2021,ARKG,ALPHABET INC-CL A,GOOGL,98703.00,1.98
1/7/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,225994.00,1.41
1/7/2021,ARKF,HDFC BANK LTD-ADR,HDB,288448.00,0.98
1/7/2021,ARKQ,HONEYWELL INTERNATIONAL INC,HON,41340.00,0.42
1/7/2021,ARKW,HUBSPOT INC,HUBS,146235.00,1.01
1/7/2021,ARKK,HUYA INC-ADR,HUYA,6419978.00,0.67
1/7/2021,ARKW,HUYA INC-ADR,HUYA,4449736.00,1.62
1/7/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,738037.00,4.02
1/7/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2667597.00,1.53
1/7/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,1014351.00,2.05
1/7/2021,ARKG,INCYTE CORP,INCY,1868446.00,1.90
1/7/2021,ARKF,INTUIT INC,INTU,92639.00,1.61
1/7/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,2516341.00,1.68
1/7/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,6168462.00,3.42
1/7/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,8869425.00,2.16
1/7/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,4855682.00,1.03
1/7/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,1527916.00,3.14
1/7/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,28538.00,1.11
1/7/2021,ARKQ,JD.COM INC-ADR,JD,828850.00,3.52
1/7/2021,ARKF,JD.COM INC-ADR,JD,285544.00,1.18
1/7/2021,ARKW,JD.COM INC-ADR,JD,677034.00,1.04
1/7/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,1645362.00,2.33
1/7/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,43407.00,0.13
1/7/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,2626424.00,3.42
1/7/2021,ARKF,LENDINGCLUB CORP,LC,1879598.00,1.02
1/7/2021,ARKW,LENDINGCLUB CORP,LC,4628718.00,0.93
1/7/2021,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,1581147.00,0.36
1/7/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,684196.00,2.17
1/7/2021,ARKG,908 DEVICES INC,MASS,459592.00,0.28
1/7/2021,ARKK,SERES THERAPEUTICS INC,MCRB,8344160.00,1.16
1/7/2021,ARKG,SERES THERAPEUTICS INC,MCRB,3552954.00,1.13
1/7/2021,ARKW,MERCADOLIBRE INC,MELI,45724.00,1.27
1/7/2021,ARKF,MERCADOLIBRE INC,MELI,56306.00,4.23
1/7/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,333075.00,1.20
1/7/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,17475.00,0.45
1/7/2021,ARKQ,MATERIALISE NV-ADR,MTLS,2355627.00,7.90
1/7/2021,ARKK,MATERIALISE NV-ADR,MTLS,6008935.00,2.07
1/7/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,740045.00,1.02
1/7/2021,ARKW,NETFLIX INC,NFLX,234355.00,2.08
1/7/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,979206.00,1.59
1/7/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,5265734.00,2.37
1/7/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,3695325.00,0.60
1/7/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,1068812.00,0.80
1/7/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,2352597.00,0.77
1/7/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,3123621.00,1.23
1/7/2021,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,883546.00,1.22
1/7/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2178866.00,1.91
1/7/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6488313.00,2.50
1/7/2021,ARKF,NVIDIA CORP,NVDA,41800.00,1.05
1/7/2021,ARKQ,NVIDIA CORP,NVDA,49703.00,1.28
1/7/2021,ARKW,NVIDIA CORP,NVDA,156581.00,1.46
1/7/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,2448398.00,2.59
1/7/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,50104.00,0.02
1/7/2021,ARKK,INVITAE CORP,NVTA,17462614.00,4.26
1/7/2021,ARKG,INVITAE CORP,NVTA,6180483.00,3.44
1/7/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,360306.00,3.04
1/7/2021,ARKW,OKTA INC,OKTA,186659.00,0.82
1/7/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,821076.00,0.05
1/7/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,197165.00,0.12
1/7/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,374190.00,0.05
1/7/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,1040992.00,1.38
1/7/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,3585882.00,1.76
1/7/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,19967366.00,7.42
1/7/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,7259637.00,1.19
1/7/2021,ARKK,PAGERDUTY INC,PD,7555149.00,1.58
1/7/2021,ARKW,PAGERDUTY INC,PD,2237999.00,1.64
1/7/2021,ARKF,PINDUODUO INC-ADR,PDD,191442.00,1.62
1/7/2021,ARKG,PHREESIA INC,PHR,1379789.00,0.89
1/7/2021,ARKW,PINTEREST INC- CLASS A,PINS,1761342.00,2.19
1/7/2021,ARKK,PINTEREST INC- CLASS A,PINS,2285914.00,0.81
1/7/2021,ARKF,PINTEREST INC- CLASS A,PINS,1202703.00,4.04
1/7/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,1344572.00,0.59
1/7/2021,ARKK,PROTO LABS INC,PRLB,3158525.00,2.87
1/7/2021,ARKQ,PROTO LABS INC,PRLB,306881.00,2.71
1/7/2021,ARKG,PERSONALIS INC,PSNL,6739994.00,2.67
1/7/2021,ARKW,PURE STORAGE INC - CLASS A,PSTG,6570108.00,2.71
