date,fund,company,ticker,shares,weight(%)
1/19/2021,ARKQ,APPLE INC,AAPL,192874.00,0.95
1/19/2021,ARKW,APPLE INC,AAPL,462746.00,0.94
1/19/2021,ARKF,APPLE INC,AAPL,397223.00,2.06
1/19/2021,ARKG,ACCOLADE INC,ACCD,3046764.00,1.50
1/19/2021,ARKW,ADOBE INC,ADBE,145659.00,1.05
1/19/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1872959.00,1.13
1/19/2021,ARKQ,AUTODESK INC,ADSK,72164.00,0.87
1/19/2021,ARKF,ADYEN NV,ADYEN,37274.00,3.28
1/19/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1269856.00,0.88
1/19/2021,ARKF,AMAZON.COM INC,AMZN,18746.00,2.38
1/19/2021,ARKQ,AMAZON.COM INC,AMZN,8165.00,0.99
1/19/2021,ARKQ,ANSYS INC,ANSS,83113.00,1.19
1/19/2021,ARKW,AGORA INC-ADR,API,1718197.00,1.06
1/19/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.81
1/19/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.42
1/19/2021,ARKQ,AEROVIRONMENT INC,AVAV,529846.00,2.69
1/19/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,292896.00,2.99
1/19/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,311912.00,1.24
1/19/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1371720.00,1.34
1/19/2021,ARKF,KE HOLDINGS INC,BEKE,398970.00,1.03
1/19/2021,ARKK,KE HOLDINGS INC,BEKE,4877683.00,1.33
1/19/2021,ARKW,KE HOLDINGS INC,BEKE,1397261.00,1.40
1/19/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2636235.00,2.83
1/19/2021,ARKW,BAIDU INC - SPON ADR,BIDU,410229.00,1.63
1/19/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,420055.00,4.07
1/19/2021,ARKG,BERKELEY LIGHTS INC,BLI,2203828.00,1.60
1/19/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,2374380.00,1.42
1/19/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1126101.00,2.68
1/19/2021,ARKQ,CATERPILLAR INC,CAT,346282.00,2.60
1/19/2021,ARKG,CAREDX INC,CDNA,4922562.00,4.13
1/19/2021,ARKG,CODEXIS INC,CDXS,4802805.00,1.14
1/19/2021,ARKG,CERUS CORP,CERS,8154380.00,0.53
1/19/2021,ARKK,CERUS CORP,CERS,19063301.00,0.60
1/19/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.69
1/19/2021,ARKK,COMPUGEN LTD,CGEN,10191083.00,0.59
1/19/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.80
1/19/2021,ARKW,SALESFORCE.COM INC,CRM,331477.00,1.14
1/19/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6070635.00,5.16
1/19/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2537293.00,4.52
1/19/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,281278.00,0.99
1/19/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2502786.00,1.76
1/19/2021,ARKQ,DEERE & CO,DE,376378.00,4.29
1/19/2021,ARKF,DOCUSIGN INC,DOCU,235449.00,2.45
1/19/2021,ARKW,DOCUSIGN INC,DOCU,437861.00,1.78
1/19/2021,ARKK,DOCUSIGN INC,DOCU,1828318.00,2.01
1/19/2021,ARKF,DISCOVERY LTD,DSY,2679280.00,1.03
1/19/2021,ARKK,EDITAS MEDICINE INC,EDIT,6655763.00,2.06
1/19/2021,ARKG,EDITAS MEDICINE INC,EDIT,1812076.00,1.17
1/19/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,187670.00,0.99
1/19/2021,ARKG,EVOGENE LTD,EVGN,4583323.00,0.24
1/19/2021,ARKG,EXACT SCIENCES CORP,EXAS,2675598.00,3.58
1/19/2021,ARKK,EXACT SCIENCES CORP,EXAS,3270098.00,2.09
1/19/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,75176.00,0.04
1/19/2021,ARKG,FATE THERAPEUTICS INC,FATE,3516235.00,3.61
