date,fund,company,ticker,shares,weight(%)
1/14/2021,ARKQ,APPLE INC,AAPL,183910.00,0.97
1/14/2021,ARKW,APPLE INC,AAPL,459224.00,0.95
1/14/2021,ARKF,APPLE INC,AAPL,389964.00,2.10
1/14/2021,ARKG,ACCOLADE INC,ACCD,2807547.00,1.31
1/14/2021,ARKW,ADOBE INC,ADBE,116906.00,0.87
1/14/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1778322.00,1.14
1/14/2021,ARKQ,AUTODESK INC,ADSK,68816.00,0.88
1/14/2021,ARKF,ADYEN NV,ADYEN,36594.00,3.31
1/14/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1224857.00,0.85
1/14/2021,ARKF,AMAZON.COM INC,AMZN,18406.00,2.41
1/14/2021,ARKQ,AMAZON.COM INC,AMZN,7787.00,1.00
1/14/2021,ARKQ,ANSYS INC,ANSS,79252.00,1.20
1/14/2021,ARKW,AGORA INC-ADR,API,1705111.00,1.07
1/14/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.95
1/14/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.39
1/14/2021,ARKQ,AEROVIRONMENT INC,AVAV,505222.00,2.59
1/14/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,309536.00,1.21
1/14/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,287541.00,2.92
1/14/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1302434.00,1.41
1/14/2021,ARKW,KE HOLDINGS INC,BEKE,1386616.00,1.39
1/14/2021,ARKF,KE HOLDINGS INC,BEKE,391677.00,1.02
1/14/2021,ARKK,KE HOLDINGS INC,BEKE,4779891.00,1.32
1/14/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2583371.00,2.84
1/14/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,400534.00,4.08
1/14/2021,ARKW,BAIDU INC - SPON ADR,BIDU,407103.00,1.63
1/14/2021,ARKG,BERKELEY LIGHTS INC,BLI,2092466.00,1.74
1/14/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,1942067.00,1.25
1/14/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1073766.00,2.81
1/14/2021,ARKQ,CATERPILLAR INC,CAT,310084.00,2.51
1/14/2021,ARKG,CAREDX INC,CDNA,4673840.00,3.95
1/14/2021,ARKG,CODEXIS INC,CDXS,4560143.00,1.14
1/14/2021,ARKG,CERUS CORP,CERS,8154380.00,0.60
1/14/2021,ARKK,CERUS CORP,CERS,19063301.00,0.63
1/14/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.75
1/14/2021,ARKK,COMPUGEN LTD,CGEN,10344668.00,0.62
1/14/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.82
1/14/2021,ARKW,SALESFORCE.COM INC,CRM,242522.00,0.84
1/14/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2717981.00,5.56
1/14/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6327406.00,5.86
1/14/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,279136.00,1.01
1/14/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2380667.00,1.75
1/14/2021,ARKQ,DEERE & CO,DE,345153.00,4.28
1/14/2021,ARKF,DOCUSIGN INC,DOCU,231148.00,2.42
1/14/2021,ARKK,DOCUSIGN INC,DOCU,1660866.00,1.83
1/14/2021,ARKW,DOCUSIGN INC,DOCU,434525.00,1.74
1/14/2021,ARKF,DISCOVERY LTD,DSY,2630337.00,1.02
1/14/2021,ARKG,EDITAS MEDICINE INC,EDIT,1812076.00,1.34
1/14/2021,ARKK,EDITAS MEDICINE INC,EDIT,6655763.00,2.23
1/14/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,171254.00,0.98
1/14/2021,ARKG,EVOGENE LTD,EVGN,4583323.00,0.27
1/14/2021,ARKK,EXACT SCIENCES CORP,EXAS,3204562.00,2.08
1/14/2021,ARKG,EXACT SCIENCES CORP,EXAS,2366265.00,3.39
1/14/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,66535.00,0.04
1/14/2021,ARKK,FATE THERAPEUTICS INC,FATE,269092.00,0.14
1/14/2021,ARKG,FATE THERAPEUTICS INC,FATE,3338576.00,3.82
1/14/2021,ARKW,FACEBOOK INC-CLASS A,FB,522482.00,2.06
1/14/2021,ARKF,FACEBOOK INC-CLASS A,FB,168168.00,1.73
1/14/2021,ARKQ,FLIR SYSTEMS INC,FLIR,694733.00,1.54
1/14/2021,ARKW,FASTLY INC - CLASS A,FSLY,1236727.00,1.81
1/14/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,6658118.00,4.65
1/14/2021,ARKG,GUARDANT HEALTH INC,GH,621990.00,0.95
1/14/2021,ARKQ,ALPHABET INC-CL C,GOOG,45875.00,3.27
1/14/2021,ARKG,ALPHABET INC-CL A,GOOGL,108336.00,1.83
1/14/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,247403.00,1.30
1/14/2021,ARKF,HDFC BANK LTD-ADR,HDB,315782.00,1.00
1/14/2021,ARKQ,HONEYWELL INTERNATIONAL INC,HON,46548.00,0.40
1/14/2021,ARKW,HUBSPOT INC,HUBS,155588.00,0.97
1/14/2021,ARKW,HUYA INC-ADR,HUYA,4734307.00,1.70
1/14/2021,ARKK,HUYA INC-ADR,HUYA,6879589.00,0.68
1/14/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,847229.00,4.10
1/14/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2858560.00,1.46
1/14/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,1079211.00,2.00
1/14/2021,ARKG,INCYTE CORP,INCY,2051135.00,1.84
1/14/2021,ARKF,INTUIT INC,INTU,101408.00,1.55
1/14/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,2762350.00,1.65
1/14/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,9504343.00,2.18
1/14/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,6771466.00,3.43
1/14/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,1720507.00,3.30
1/14/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,5203269.00,1.08
1/14/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,32134.00,1.05
1/14/2021,ARKQ,JD.COM INC-ADR,JD,933320.00,3.41
1/14/2021,ARKF,JD.COM INC-ADR,JD,312562.00,1.17
1/14/2021,ARKW,JD.COM INC-ADR,JD,720321.00,1.03
1/14/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,1852756.00,2.23
1/14/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,47515.00,0.13
1/14/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,2957461.00,3.68
1/14/2021,ARKW,LENDINGCLUB CORP,LC,4628718.00,0.83
1/14/2021,ARKF,LENDINGCLUB CORP,LC,1879598.00,0.88
1/14/2021,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,1735840.00,0.35
1/14/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,101416.00,1.44
1/14/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,747396.00,2.34
1/14/2021,ARKG,908 DEVICES INC,MASS,504546.00,0.30
1/14/2021,ARKK,SERES THERAPEUTICS INC,MCRB,8118442.00,0.96
1/14/2021,ARKG,SERES THERAPEUTICS INC,MCRB,3552954.00,0.92
1/14/2021,ARKF,MERCADOLIBRE INC,MELI,61599.00,4.77
1/14/2021,ARKW,MERCADOLIBRE INC,MELI,48638.00,1.44
1/14/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,444958.00,1.36
1/14/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,19134.00,0.41
1/14/2021,ARKK,MATERIALISE NV-ADR,MTLS,6006937.00,1.95
