date,fund,company,ticker,shares,weight(%)
1/13/2021,ARKQ,APPLE INC,AAPL,178598.00,1.02
1/13/2021,ARKW,APPLE INC,AAPL,458050.00,0.96
1/13/2021,ARKF,APPLE INC,AAPL,384840.00,2.14
1/13/2021,ARKG,ACCOLADE INC,ACCD,2758740.00,1.34
1/13/2021,ARKW,ADOBE INC,ADBE,116606.00,0.89
1/13/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1747401.00,1.13
1/13/2021,ARKQ,AUTODESK INC,ADSK,66832.00,0.92
1/13/2021,ARKF,ADYEN NV,ADYEN,36114.00,3.35
1/13/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1221723.00,0.86
1/13/2021,ARKF,AMAZON.COM INC,AMZN,18166.00,2.45
1/13/2021,ARKQ,AMAZON.COM INC,AMZN,7563.00,1.05
1/13/2021,ARKQ,ANSYS INC,ANSS,76964.00,1.26
1/13/2021,ARKW,AGORA INC-ADR,API,1700749.00,1.09
1/13/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.91
1/13/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.62
1/13/2021,ARKQ,AEROVIRONMENT INC,AVAV,490630.00,2.06
1/13/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,283761.00,2.84
1/13/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,308744.00,1.17
1/13/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1279796.00,1.28
1/13/2021,ARKF,KE HOLDINGS INC,BEKE,386529.00,1.05
1/13/2021,ARKK,KE HOLDINGS INC,BEKE,4721827.00,1.37
1/13/2021,ARKW,KE HOLDINGS INC,BEKE,1383070.00,1.42
1/13/2021,ARKW,BAIDU INC - SPON ADR,BIDU,406061.00,1.55
1/13/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2551983.00,2.74
1/13/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,388966.00,4.03
1/13/2021,ARKG,BERKELEY LIGHTS INC,BLI,2056100.00,1.75
1/13/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,1504775.00,0.99
1/13/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1042742.00,3.04
1/13/2021,ARKQ,CATERPILLAR INC,CAT,301124.00,2.58
1/13/2021,ARKG,CAREDX INC,CDNA,4592594.00,3.94
1/13/2021,ARKG,CODEXIS INC,CDXS,4480844.00,1.06
1/13/2021,ARKG,CERUS CORP,CERS,8154380.00,0.62
1/13/2021,ARKK,CERUS CORP,CERS,19063301.00,0.64
1/13/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.78
1/13/2021,ARKK,COMPUGEN LTD,CGEN,10490367.00,0.64
1/13/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.80
1/13/2021,ARKW,SALESFORCE.COM INC,CRM,241902.00,0.85
1/13/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6327406.00,5.56
1/13/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2717981.00,5.36
1/13/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,278422.00,1.01
1/13/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2339285.00,1.74
1/13/2021,ARKQ,DEERE & CO,DE,335185.00,4.42
1/13/2021,ARKF,DOCUSIGN INC,DOCU,228112.00,2.48
1/13/2021,ARKW,DOCUSIGN INC,DOCU,433413.00,1.78
1/13/2021,ARKK,DOCUSIGN INC,DOCU,1640688.00,1.90
1/13/2021,ARKF,DISCOVERY LTD,DSY,2595777.00,1.06
1/13/2021,ARKK,EDITAS MEDICINE INC,EDIT,6655763.00,2.21
1/13/2021,ARKG,EDITAS MEDICINE INC,EDIT,1812076.00,1.35
1/13/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,157777.00,0.95
1/13/2021,ARKG,EVOGENE LTD,EVGN,4583323.00,0.26
1/13/2021,ARKG,EXACT SCIENCES CORP,EXAS,2325114.00,3.44
1/13/2021,ARKK,EXACT SCIENCES CORP,EXAS,3165650.00,2.09
1/13/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,64615.00,0.04
1/13/2021,ARKK,FATE THERAPEUTICS INC,FATE,265824.00,0.14
1/13/2021,ARKG,FATE THERAPEUTICS INC,FATE,3280529.00,3.78
1/13/2021,ARKW,FACEBOOK INC-CLASS A,FB,521146.00,2.11
1/13/2021,ARKF,FACEBOOK INC-CLASS A,FB,165960.00,1.78
1/13/2021,ARKQ,FLIR SYSTEMS INC,FLIR,674669.00,1.60
1/13/2021,ARKW,FASTLY INC - CLASS A,FSLY,1233563.00,1.80
1/13/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,6641088.00,4.31
1/13/2021,ARKG,GUARDANT HEALTH INC,GH,611166.00,0.99
1/13/2021,ARKQ,ALPHABET INC-CL C,GOOG,44547.00,3.42
1/13/2021,ARKG,ALPHABET INC-CL A,GOOGL,106455.00,1.89
1/13/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,244151.00,1.32
1/13/2021,ARKF,HDFC BANK LTD-ADR,HDB,311630.00,1.00
1/13/2021,ARKQ,HONEYWELL INTERNATIONAL INC,HON,45204.00,0.41
1/13/2021,ARKW,HUBSPOT INC,HUBS,155190.00,1.00
1/13/2021,ARKK,HUYA INC-ADR,HUYA,6796027.00,0.67
1/13/2021,ARKW,HUYA INC-ADR,HUYA,4722199.00,1.65
1/13/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,836105.00,4.19
1/13/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,1076451.00,2.04
1/13/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2823866.00,1.51
1/13/2021,ARKG,INCYTE CORP,INCY,2015462.00,1.90
1/13/2021,ARKF,INTUIT INC,INTU,100076.00,1.56
1/13/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,2714302.00,1.65
1/13/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,9388899.00,2.16
1/13/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,6653722.00,3.43
1/13/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,5140075.00,1.01
1/13/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,1670811.00,3.16
1/13/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,31206.00,1.11
1/13/2021,ARKW,JD.COM INC-ADR,JD,718479.00,1.04
1/13/2021,ARKF,JD.COM INC-ADR,JD,308458.00,1.19
1/13/2021,ARKQ,JD.COM INC-ADR,JD,906360.00,3.59
1/13/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,1799236.00,2.30
1/13/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,46891.00,0.13
1/13/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,2872037.00,3.49
1/13/2021,ARKW,LENDINGCLUB CORP,LC,4628718.00,0.84
1/13/2021,ARKF,LENDINGCLUB CORP,LC,1879598.00,0.91
1/13/2021,ARKG,LONGVIEW ACQUISITION CORP-A,LGVW,1705645.00,0.35
1/13/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,65864.00,1.00
1/13/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,737796.00,2.35
1/13/2021,ARKG,908 DEVICES INC,MASS,495768.00,0.29
1/13/2021,ARKG,SERES THERAPEUTICS INC,MCRB,3552954.00,0.93
1/13/2021,ARKK,SERES THERAPEUTICS INC,MCRB,8157135.00,0.96
1/13/2021,ARKF,MERCADOLIBRE INC,MELI,60795.00,4.65
1/13/2021,ARKW,MERCADOLIBRE INC,MELI,48514.00,1.40
1/13/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,432110.00,1.42
1/13/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,18882.00,0.43
1/13/2021,ARKK,MATERIALISE NV-ADR,MTLS,6006937.00,1.85
1/13/2021,ARKQ,MATERIALISE NV-ADR,MTLS,2446618.00,7.27
1/13/2021,ARKW,CLOUDFLARE INC - CLASS A,NET,785360.00,1.04
1/13/2021,ARKW,NETFLIX INC,NFLX,248710.00,2.03
1/13/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,1070770.00,1.84
1/13/2021,ARKW,NANO DIMENSION LTD - ADR,NNDM,3921609.00,0.72
1/13/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,5758173.00,2.88
1/13/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,1152860.00,0.84
1/13/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,1987234.00,0.65
1/13/2021,ARKW,NINTENDO CO LTD-UNSPONS ADR,NTDOY,937636.00,1.19
1/13/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,3306591.00,1.19
1/13/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,6456860.00,2.23
1/13/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,2178866.00,1.69
1/13/2021,ARKW,NVIDIA CORP,NVDA,166166.00,1.45
1/13/2021,ARKF,NVIDIA CORP,NVDA,45150.00,1.04
1/13/2021,ARKQ,NVIDIA CORP,NVDA,54349.00,1.29
1/13/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,2640997.00,2.51
1/13/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,1161596.00,0.49
1/13/2021,ARKG,INVITAE CORP,NVTA,6180483.00,3.23
1/13/2021,ARKK,INVITAE CORP,NVTA,17456809.00,4.07
1/13/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,394004.00,3.06
1/13/2021,ARKW,OKTA INC,OKTA,198089.00,0.82
1/13/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,374190.00,0.05
1/13/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,197165.00,0.11
1/13/2021,ARKK,ORGANOVO HOLDINGS INC,ONVO ,729771.00,0.04
1/13/2021,ARKW,OPENDOOR TECHNOLOGIES INC,OPEN,3805448.00,1.64
1/13/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,1124564.00,1.29
1/13/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,7257224.00,1.13
1/13/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,18745180.00,6.55
1/13/2021,ARKK,PAGERDUTY INC,PD,7552637.00,1.56
1/13/2021,ARKW,PAGERDUTY INC,PD,2237999.00,1.63
1/13/2021,ARKF,PINDUODUO INC-ADR,PDD,206831.00,1.45
1/13/2021,ARKG,PHREESIA INC,PHR,1488317.00,0.92
1/13/2021,ARKK,PINTEREST INC- CLASS A,PINS,2419807.00,0.80
1/13/2021,ARKF,PINTEREST INC- CLASS A,PINS,1299250.00,4.02
1/13/2021,ARKW,PINTEREST INC- CLASS A,PINS,1869194.00,2.19
1/13/2021,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,1426909.00,0.59
1/13/2021,ARKQ,PROTO LABS INC,PRLB,280592.00,2.07
1/13/2021,ARKK,PROTO LABS INC,PRLB,3157475.00,2.41
1/13/2021,ARKG,PERSONALIS INC,PSNL,6739994.00,2.81
1/13/2021,ARKW,PURE STORAGE INC - CLASS A,PSTG,6570108.00,2.46
1/13/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,22255488.00,2.35
1/13/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,8710400.00,2.06
1/13/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,3836111.00,0.32
1/13/2021,ARKW,PELOTON INTERACTIVE INC-A,PTON,477959.00,1.29
1/13/2021,ARKK,PAYPAL HOLDINGS INC,PYPL,1659125.00,1.84
1/13/2021,ARKW,PAYPAL HOLDINGS INC,PYPL,528438.00,2.08
1/13/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,358051.00,3.73
1/13/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,710545.00,1.16
1/13/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,722682.00,3.76
1/13/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,107358.00,0.25
1/13/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,6783420.00,3.04
1/13/2021,ARKQ,ROCKWELL AUTOMATION INC,ROK,88217.00,1.01
1/13/2021,ARKW,ROKU INC,ROKU,859460.00,5.65
1/13/2021,ARKK,ROKU INC,ROKU,4013378.00,7.44
1/13/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,884354.00,0.38
1/13/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,544516.00,1.38
1/13/2021,ARKG,SCHRODINGER INC,SDGR,1578015.00,1.42
1/13/2021,ARKK,SEA LTD-ADR,SE,1173461.00,1.21
1/13/2021,ARKW,SEA LTD-ADR,SE,604517.00,2.20
1/13/2021,ARKF,SEA LTD-ADR,SE,408368.00,3.94
1/13/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,40478.00,2.07
1/13/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,354976.00,1.93
1/13/2021,ARKW,SHOPIFY INC - CLASS A,SHOP,100554.00,1.94
1/13/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,705123.00,2.08
1/13/2021,ARKW,SKILLZ INC,SKLZ,491663.00,0.21
1/13/2021,ARKF,SNAP INC - A,SNAP,1075934.00,2.45
1/13/2021,ARKW,SNAP INC - A,SNAP,2558432.00,2.20
1/13/2021,ARKQ,SYNOPSYS INC,SNPS,149579.00,1.68
1/13/2021,ARKW,SYNOPSYS INC,SNPS,197263.00,0.82
1/13/2021,ARKK,SYNOPSYS INC,SNPS,714287.00,0.83
1/13/2021,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,1623474.00,1.96
1/13/2021,ARKQ,SPLUNK INC,SPLK,801.00,0.01
1/13/2021,ARKW,SPLUNK INC,SPLK,346548.00,0.95
1/13/2021,ARKK,SPLUNK INC,SPLK,1146060.00,0.89
1/13/2021,ARKF,SPLUNK INC,SPLK,250030.00,1.82
