date,fund,company,ticker,shares,weight(%)
1/21/2021,ARKQ,APPLE INC,AAPL,203498.00,1.01
1/21/2021,ARKW,APPLE INC,AAPL,470377.00,0.98
1/21/2021,ARKF,APPLE INC,AAPL,419854.00,2.14
1/21/2021,ARKG,ACCOLADE INC,ACCD,3350322.00,1.74
1/21/2021,ARKW,ADOBE INC,ADBE,148064.00,1.07
1/21/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1944171.00,1.15
1/21/2021,ARKQ,AUTODESK INC,ADSK,76132.00,0.84
1/21/2021,ARKF,ADYEN NV,ADYEN,39394.00,3.42
1/21/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1388271.00,1.00
1/21/2021,ARKF,AMAZON.COM INC,AMZN,19806.00,2.44
1/21/2021,ARKQ,AMAZON.COM INC,AMZN,8613.00,1.03
1/21/2021,ARKQ,ANSYS INC,ANSS,87689.00,1.18
1/21/2021,ARKW,AGORA INC-ADR,API,1746547.00,1.23
1/21/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.83
1/21/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.21
1/21/2021,ARKQ,AEROVIRONMENT INC,AVAV,559030.00,2.60
1/21/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,317060.00,1.26
1/21/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,309591.00,3.00
1/21/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1679369.00,1.37
1/21/2021,ARKW,KE HOLDINGS INC,BEKE,1420310.00,1.59
1/21/2021,ARKF,KE HOLDINGS INC,BEKE,421707.00,1.15
1/21/2021,ARKK,KE HOLDINGS INC,BEKE,5002979.00,1.54
1/21/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2703967.00,2.85
1/21/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,494119.00,4.50
1/21/2021,ARKW,BAIDU INC - SPON ADR,BIDU,417002.00,1.61
1/21/2021,ARKG,BERKELEY LIGHTS INC,BLI,2287609.00,1.67
1/21/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,2641465.00,1.49
1/21/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1188117.00,2.75
1/21/2021,ARKQ,CATERPILLAR INC,CAT,365354.00,2.54
1/21/2021,ARKG,CAREDX INC,CDNA,5109674.00,3.95
1/21/2021,ARKG,CODEXIS INC,CDXS,4985433.00,1.12
1/21/2021,ARKG,CERUS CORP,CERS,8154380.00,0.52
1/21/2021,ARKK,CERUS CORP,CERS,19063301.00,0.58
1/21/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.64
1/21/2021,ARKK,COMPUGEN LTD,CGEN,10140626.00,0.54
1/21/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.68
1/21/2021,ARKW,SALESFORCE.COM INC,CRM,336950.00,1.15
1/21/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2485744.00,4.05
1/21/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6070635.00,4.71
1/21/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,285919.00,0.97
1/21/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2535046.00,1.80
1/21/2021,ARKQ,DEERE & CO,DE,397114.00,4.38
1/21/2021,ARKF,DOCUSIGN INC,DOCU,248858.00,2.36
1/21/2021,ARKW,DOCUSIGN INC,DOCU,445089.00,1.73
1/21/2021,ARKK,DOCUSIGN INC,DOCU,1875304.00,1.99
1/21/2021,ARKF,DISCOVERY LTD,DSY,2831958.00,0.94
