date,fund,company,ticker,shares,weight(%)
1/20/2021,ARKQ,APPLE INC,AAPL,199182.00,0.99
1/20/2021,ARKW,APPLE INC,AAPL,468616.00,0.95
1/20/2021,ARKF,APPLE INC,AAPL,399358.00,2.08
1/20/2021,ARKG,ACCOLADE INC,ACCD,3291899.00,1.60
1/20/2021,ARKW,ADOBE INC,ADBE,147509.00,1.06
1/20/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,1916998.00,1.12
1/20/2021,ARKQ,AUTODESK INC,ADSK,74520.00,0.87
1/20/2021,ARKF,ADYEN NV,ADYEN,37474.00,3.36
1/20/2021,ARKW,ADYEN NV-UNSPON ADR,ADYEY,1328276.00,0.93
1/20/2021,ARKF,AMAZON.COM INC,AMZN,18846.00,2.43
1/20/2021,ARKQ,AMAZON.COM INC,AMZN,8431.00,1.04
1/20/2021,ARKQ,ANSYS INC,ANSS,85830.00,1.23
1/20/2021,ARKW,AGORA INC-ADR,API,1740007.00,1.23
1/20/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,8619409.00,0.87
1/20/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,3935339.00,2.31
1/20/2021,ARKQ,AEROVIRONMENT INC,AVAV,547174.00,2.72
1/20/2021,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,315872.00,1.28
1/20/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,294471.00,3.09
1/20/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,1403962.00,1.25
1/20/2021,ARKK,KE HOLDINGS INC,BEKE,4969363.00,1.52
1/20/2021,ARKF,KE HOLDINGS INC,BEKE,401115.00,1.15
1/20/2021,ARKW,KE HOLDINGS INC,BEKE,1414991.00,1.58
1/20/2021,ARKW,BAIDU INC - SPON ADR,BIDU,415439.00,1.66
1/20/2021,ARKK,BAIDU INC - SPON ADR,BIDU,2685795.00,2.94
1/20/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,473392.00,4.67
1/20/2021,ARKG,BERKELEY LIGHTS INC,BLI,2255622.00,1.63
1/20/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,2604548.00,1.50
1/20/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,1162923.00,2.63
1/20/2021,ARKQ,CATERPILLAR INC,CAT,357606.00,2.60
1/20/2021,ARKG,CAREDX INC,CDNA,5038276.00,4.19
1/20/2021,ARKG,CODEXIS INC,CDXS,4915746.00,1.09
1/20/2021,ARKG,CERUS CORP,CERS,8154380.00,0.52
1/20/2021,ARKK,CERUS CORP,CERS,19063301.00,0.58
1/20/2021,ARKK,COMPUGEN LTD,CGEN,10153376.00,0.57
1/20/2021,ARKG,COMPUGEN LTD,CGEN,5721282.00,0.66
1/20/2021,ARKG,CELLECTIS - ADR,CLLS,6036351.00,1.74
1/20/2021,ARKW,SALESFORCE.COM INC,CRM,335687.00,1.15
1/20/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,2528990.00,4.18
1/20/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,6070635.00,4.84
1/20/2021,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,284848.00,0.99
1/20/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,2509596.00,1.78
1/20/2021,ARKQ,DEERE & CO,DE,388690.00,4.42
1/20/2021,ARKF,DOCUSIGN INC,DOCU,236714.00,2.39
1/20/2021,ARKK,DOCUSIGN INC,DOCU,1862698.00,2.00
1/20/2021,ARKW,DOCUSIGN INC,DOCU,443421.00,1.73
1/20/2021,ARKF,DISCOVERY LTD,DSY,2693670.00,0.98
1/20/2021,ARKG,EDITAS MEDICINE INC,EDIT,1812076.00,1.13
1/20/2021,ARKK,EDITAS MEDICINE INC,EDIT,6655763.00,2.01
1/20/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,193807.00,1.00
1/20/2021,ARKG,EVOGENE LTD,EVGN,4583323.00,0.23
1/20/2021,ARKK,EXACT SCIENCES CORP,EXAS,3331538.00,2.10
1/20/2021,ARKG,EXACT SCIENCES CORP,EXAS,2738484.00,3.59
1/20/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,273066.00,0.15
1/20/2021,ARKK,FATE THERAPEUTICS INC,FATE,279756.00,0.13
1/20/2021,ARKG,FATE THERAPEUTICS INC,FATE,3598908.00,3.42
1/20/2021,ARKW,FACEBOOK INC-CLASS A,FB,533170.00,2.18
1/20/2021,ARKF,FACEBOOK INC-CLASS A,FB,172216.00,1.82
1/20/2021,ARKQ,FLIR SYSTEMS INC,FLIR,752417.00,1.54
1/20/2021,ARKW,FASTLY INC - CLASS A,FSLY,1401179.00,2.09
1/20/2021,ARKW,GRAYSCALE BITCOIN TRUST BTC,GBTC,6794365.00,3.68
1/20/2021,ARKG,GUARDANT HEALTH INC,GH,670534.00,0.95
1/20/2021,ARKQ,ALPHABET INC-CL C,GOOG,49693.00,3.54
1/20/2021,ARKG,ALPHABET INC-CL A,GOOGL,116772.00,1.91
1/20/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,253365.00,1.26
1/20/2021,ARKF,HDFC BANK LTD-ADR,HDB,323394.00,0.96
1/20/2021,ARKQ,HONEYWELL INTERNATIONAL INC,HON,50412.00,0.40
1/20/2021,ARKW,HUBSPOT INC,HUBS,158772.00,0.96
1/20/2021,ARKW,HUYA INC-ADR,HUYA,4710087.00,1.67
1/20/2021,ARKK,HUYA INC-ADR,HUYA,6879589.00,0.67
1/20/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,867623.00,3.93
1/20/2021,ARKW,INTERCONTINENTAL EXCHANGE IN,ICE,1101291.00,1.93
1/20/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,2971896.00,1.43
1/20/2021,ARKG,INCYTE CORP,INCY,2211123.00,1.86
1/20/2021,ARKF,INTUIT INC,INTU,103850.00,1.60
1/20/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,2977690.00,1.62
1/20/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,7299489.00,3.11
1/20/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,9881055.00,2.03
