fund,ticker,shares_initiated,initiation_date
ARKW,SI,500000.0,2021-01-22
ARKK,PCAR,450058.0,2021-01-20
ARKG,ONEM,186354.0,2021-01-19
ARKQ,LMT,113128.0,2021-01-11
ARKQ,TDY,104545.0,2021-01-11
ARKQ,EXPC,281256.0,2021-01-11
ARKG,BMY,2664379.0,2021-01-11
ARKK,REGN,472562.0,2021-01-11
ARKK,NVS,1237924.0,2021-01-07
ARKK,FATE,283282.0,2021-01-06
ARKK,TXG,1432006.0,2021-01-06
,,,
